optimizer,epsilon,baseline_loss,mean_symmetric_delta,std_symmetric_delta,max_sampled_delta
adamw,0.0,0.225329041481018,0.0,0.0,0.0
adamw,0.001,0.225329041481018,-5.212496034801006e-08,1.5069084970491456e-06,0.0003031273372471
adamw,0.003,0.225329041481018,-6.972986739128828e-07,1.1686229656666817e-05,0.0009023784659802
adamw,0.01,0.225329041481018,8.048431482166052e-06,0.0001306158687246,0.0029795076698064
adamw,0.03,0.225329041481018,0.0001209999900311,0.0011174904632006,0.009879729244858
adamw,0.1,0.225329041481018,0.0074103497900068,0.0074254557527042,0.0391210718080401
muon,0.0,0.3198715467005968,0.0,0.0,0.0
muon,0.001,0.3198715467005968,-3.3144024200737476e-06,3.396687457317808e-06,0.0002077715471386
muon,0.003,0.3198715467005968,-2.6617897674441338e-05,3.067177089525027e-05,0.0006167385727167
muon,0.01,0.3198715467005968,-0.0001110174925997,0.000141172393008,0.0019670352339744
muon,0.03,0.3198715467005968,0.0001212251663673,0.0007720365655993,0.0046480204910039
muon,0.1,0.3198715467005968,0.0043542117637116,0.0059285025928338,0.0243332628160715
