optimizer,epsilon,baseline_loss,mean_symmetric_delta,std_symmetric_delta,max_sampled_delta
adamw,0,0.22532904148101807,0,0,0
adamw,0.001,0.22532904148101807,-5.212496034801006e-08,1.5069084970491456e-06,0.00030312733724713326
adamw,0.003,0.22532904148101807,-6.972986739128828e-07,1.1686229656666815e-05,0.0009023784659802914
adamw,0.01,0.22532904148101807,8.048431482166052e-06,0.00013061586872466344,0.0029795076698064804
adamw,0.03,0.22532904148101807,0.00012099999003112316,0.001117490463200626,0.009879729244858027
adamw,0.1,0.22532904148101807,0.007410349790006876,0.0074254557527042376,0.03912107180804014
muon,0,0.3198715467005968,0,0,0
muon,0.001,0.3198715467005968,-3.3144024200737476e-06,3.3966874573178078e-06,0.00020777154713869095
muon,0.003,0.3198715467005968,-2.6617897674441338e-05,3.067177089525027e-05,0.000616738572716713
muon,0.01,0.3198715467005968,-0.00011101749259978533,0.00014117239300806255,0.001967035233974457
muon,0.03,0.3198715467005968,0.00012122516636736691,0.000772036565599313,0.00464802049100399
muon,0.1,0.3198715467005968,0.004354211763711646,0.005928502592833848,0.02433326281607151
