optimizer,phase,iteration,rayleigh_quotient,residual_norm
adamw,raw,0,-1.4374493275681743e-06,0.036599770188331604
adamw,raw,1,24.844675064086914,42.52467346191406
adamw,raw,2,108.61099243164062,31.10448455810547
adamw,raw,3,121.47148895263672,16.134193420410156
adamw,raw,4,124.75747680664062,8.848295211791992
adamw,raw,5,125.73435974121094,4.979310512542725
adamw,raw,6,126.04405212402344,2.856435537338257
adamw,raw,7,126.14627838134766,1.6586936712265015
adamw,raw,8,126.1808090209961,0.9698777794837952
adamw,raw,9,126.19264221191406,0.5692050457000732
adamw,deflated,0,-7.613699381181505e-06,0.032807983458042145
adamw,deflated,1,6.147378921508789,17.196670532226562
adamw,deflated,2,47.375728607177734,26.32020378112793
adamw,deflated,3,65.94901275634766,16.13751792907715
adamw,deflated,4,71.73289489746094,9.034564018249512
adamw,deflated,5,73.48331451416016,5.120399475097656
adamw,deflated,6,74.0451889038086,3.00107479095459
adamw,deflated,7,74.23977661132812,1.8195719718933105
adamw,deflated,8,74.31201171875,1.1360301971435547
adamw,deflated,9,74.34042358398438,0.7265111804008484
adamw,deflated,10,74.35212707519531,0.4736148416996002
adamw,deflated,11,74.35713195800781,0.31345894932746887
muon,raw,0,3.4445386063453043e-06,0.13480037450790405
muon,raw,1,-619.387939453125,730.7827758789062
muon,raw,2,-1087.0941162109375,382.0582275390625
muon,raw,3,-1164.586181640625,163.0040740966797
muon,raw,4,-1177.89501953125,68.06832885742188
muon,raw,5,-1180.1884765625,28.392499923706055
muon,raw,6,-1180.587890625,11.849483489990234
muon,raw,7,-1180.65625,4.946860313415527
muon,deflated,0,5.320769105310319e-06,0.0686940848827362
muon,deflated,1,307.1090087890625,230.13856506347656
muon,deflated,2,480.7267150878906,59.10946273803711
muon,deflated,3,489.98077392578125,26.40854835510254
muon,deflated,4,492.1065368652344,14.088960647583008
muon,deflated,5,492.72808837890625,7.7257080078125
muon,deflated,6,492.91595458984375,4.25120210647583
muon,deflated,7,492.97247314453125,2.340240001678467
muon,deflated,8,492.9900207519531,1.2879211902618408
